NOC,Gold,Silver,Bronze,Total
URS,72,67,43,182
USA,40,45,38,123
JPN,33,34,36,103
CHN,29,21,19,69
ROU,25,20,26,71
SUI,15,19,13,47
GER,15,13,15,43
HUN,15,11,14,40
ITA,14,6,9,29
TCH,12,13,10,35
RUS,10,15,19,44
EUN,9,5,4,18
FIN,8,5,12,25
GDR,6,13,17,36
UKR,5,3,4,12
GRE,5,3,3,11
YUG,5,2,4,11
SWE,5,2,1,8
FRA,3,10,9,22
GBR,3,3,10,16
PRK,3,0,0,3
NED,3,0,0,3
KOR,2,4,5,11
BRA,2,3,1,6
BUL,2,2,6,10
ROC,2,2,4,8
ESP,2,2,1,5
DEN,1,2,1,4
NOR,1,2,1,4
POL,1,1,2,4
BEL,1,1,1,3
LAT,1,1,0,2
CAN,1,0,0,1
ISR,1,0,0,1
CRO,0,2,0,2
TPE,0,1,0,1
BLR,0,0,4,4
ARM,0,0,1,1
TUR,0,0,1,1
UZB,0,0,1,1
FRG,0,0,1,1
