NOC,Gold,Silver,Bronze,Total
USA,57,31,28,116
CHN,26,16,25,67
URS,17,15,17,49
ITA,16,16,11,43
SWE,15,24,18,57
GBR,13,15,19,47
NOR,13,8,11,32
GER,11,9,6,26
FRA,9,12,9,30
RUS,7,14,12,33
KOR,7,9,1,17
SUI,7,6,10,23
HUN,7,3,7,17
ROU,6,4,5,15
EUN,5,2,1,8
AUS,5,1,5,11
FIN,4,7,10,21
BUL,4,7,6,17
GRE,4,4,5,13
FRG,4,4,3,11
POL,4,3,5,12
CAN,4,3,2,9
TCH,4,3,2,9
UKR,4,2,3,9
DEN,3,11,5,19
GDR,3,8,5,16
CZE,3,4,4,11
ROC,2,4,2,8
CRO,2,0,1,3
YUG,2,0,1,3
BEL,1,5,3,9
AUT,1,2,5,8
BLR,1,2,4,7
JPN,1,2,3,6
SVK,1,2,3,6
BRA,1,2,1,4
IND,1,2,1,4
SCG,1,2,1,4
ESP,1,2,1,4
PER,1,2,0,3
CUB,1,1,3,5
IOA,1,1,3,5
VIE,1,1,0,2
AZE,1,0,2,3
PRK,1,0,2,3
SLO,1,0,2,3
IRI,1,0,0,1
LTU,1,0,0,1
UAE,1,0,0,1
SRB,0,2,2,4
KAZ,0,2,1,3
COL,0,2,0,2
MGL,0,1,1,2
NED,0,1,1,2
NZL,0,1,1,2
SMR,0,1,1,2
ARG,0,1,0,1
CHI,0,1,0,1
LAT,0,1,0,1
MEX,0,1,0,1
POR,0,1,0,1
MDA,0,1,0,1
RSA,0,1,0,1
KUW,0,0,3,3
GEO,0,0,1,1
HAI,0,0,1,1
QAT,0,0,1,1
VEN,0,0,1,1
