NOC,Gold,Silver,Bronze,Total
USA,258,182,146,586
AUS,67,67,72,206
GDR,38,32,22,92
HUN,28,26,20,74
JPN,24,27,32,83
GBR,22,29,30,81
NED,19,20,19,58
CHN,16,21,12,49
GER,14,23,36,73
URS,12,21,26,59
CAN,9,18,27,54
SWE,9,16,14,39
FRA,8,16,19,43
RSA,7,7,6,20
EUN,6,3,1,10
ITA,5,6,15,26
RUS,4,9,9,22
UKR,4,3,2,9
FRG,3,5,14,22
DEN,3,5,7,15
ROU,3,2,4,9
IRL,3,0,1,4
ZIM,2,4,1,7
ANZ,2,3,3,8
ESP,2,2,4,8
ROC,2,2,1,5
NZL,2,1,3,6
TUN,2,0,1,3
AUT,1,6,4,11
BRA,1,4,10,15
GRE,1,3,2,6
POL,1,3,2,6
KOR,1,3,0,4
BEL,1,2,2,5
CRC,1,1,2,4
ARG,1,1,1,3
BUL,1,1,1,3
YUG,1,1,0,2
MEX,1,0,1,2
SUR,1,0,1,2
KAZ,1,0,0,1
LTU,1,0,0,1
SGP,1,0,0,1
BLR,0,2,1,3
HKG,0,2,0,2
SVK,0,2,0,2
FIN,0,1,4,5
CUB,0,1,1,2
NOR,0,1,1,2
CRO,0,1,0,1
SRB,0,1,0,1
SLO,0,1,0,1
SUI,0,0,3,3
PHI,0,0,2,2
TTO,0,0,1,1
VEN,0,0,1,1
