NOC,Gold,Silver,Bronze,Total
URS,39,21,2,62
CHN,38,16,8,62
USA,16,17,13,46
BUL,12,17,8,37
IRI,9,6,5,20
FRA,9,3,3,15
TUR,8,1,2,11
GER,6,7,7,20
POL,6,6,22,34
GRE,6,5,4,15
PRK,5,8,5,18
ITA,5,5,7,17
EUN,5,4,0,9
EGY,5,3,6,14
THA,5,2,7,14
RUS,4,7,6,17
TPE,4,2,4,10
KOR,3,6,6,15
AUT,3,4,2,9
TCH,3,2,3,8
GEO,3,1,3,7
HUN,2,9,9,20
ROU,2,6,3,11
COL,2,4,3,9
JPN,2,3,10,15
FRG,2,2,3,7
CAN,2,2,1,5
CUB,2,1,5,8
UKR,2,1,2,5
UZB,2,0,1,3
GDR,1,4,6,11
BLR,1,4,3,8
GBR,1,4,3,8
KAZ,1,3,7,11
EST,1,3,3,7
BEL,1,2,1,4
DEN,1,2,0,3
AUS,1,1,2,4
ESP,1,1,1,3
ECU,1,1,0,2
PHI,1,1,0,2
MEX,1,0,3,4
FIN,1,0,2,3
CRO,1,0,1,2
QAT,1,0,1,2
NOR,1,0,0,1
INA,0,7,8,15
ARM,0,4,2,6
SUI,0,2,2,4
VEN,0,2,1,3
LAT,0,1,2,3
TTO,0,1,2,3
ARG,0,1,1,2
DOM,0,1,1,2
IND,0,1,1,2
NGR,0,1,1,2
VIE,0,1,1,2
LBN,0,1,0,1
LUX,0,1,0,1
SAM,0,1,0,1
SGP,0,1,0,1
TKM,0,1,0,1
SWE,0,0,4,4
NED,0,0,3,3
CMR,0,0,1,1
IRQ,0,0,1,1
LTU,0,0,1,1
SYR,0,0,1,1
