NOC,Gold,Silver,Bronze,Total
USA,13,10,9,32
KEN,6,6,1,13
JAM,6,3,2,11
CHN,2,2,2,6
RSA,2,2,0,4
GBR,2,1,4,7
CRO,2,0,1,3
GER,2,0,1,3
ETH,1,2,5,8
CAN,1,1,4,6
POL,1,1,1,3
BRN,1,1,0,2
ESP,1,1,0,2
BAH,1,0,1,2
BEL,1,0,0,1
BRA,1,0,0,1
COL,1,0,0,1
GRE,1,0,0,1
SVK,1,0,0,1
TJK,1,0,0,1
FRA,0,3,3,6
ALG,0,2,0,2
NZL,0,1,3,4
AUS,0,1,1,2
JPN,0,1,1,2
BLR,0,1,0,1
BUL,0,1,0,1
BDI,0,1,0,1
DEN,0,1,0,1
GRN,0,1,0,1
MEX,0,1,0,1
NED,0,1,0,1
QAT,0,1,0,1
VEN,0,1,0,1
CUB,0,0,1,1
CZE,0,0,1,1
HUN,0,0,1,1
KAZ,0,0,1,1
SRB,0,0,1,1
TTO,0,0,1,1
TUR,0,0,1,1
UKR,0,0,1,1
